usr_id,mentions
1903307984,16213404
1027382530884812800,None
19959615,19198034
3236203752,3236203752
899493183071035392,None
63028705,None
1527339204,None
2711602693,16213404
2711602693,16734909
168841729,None
294292505,579774943
294292505,16734909
472716690,None
578737470,14944735
578737470,14354451
578737470,16213404
2905105711,1409833679203958784
814568231495077892,16734909
255437360,None
567171596,16213404
131711235,None
716022162,16213404
716022162,16734909
106286424,95091601
260532533,None
899493183071035392,None
747219321198280704,None
21463094,None
1344228505,19198034
2584844574,None
3356383392,1527339204
704234715989954560,None
500246788,1486330544875003904
500246788,16213404
500246788,16213404
180569858,2768501
180569858,16734909
180569858,16213404
180569858,165660881
180569858,35466620
180569858,35690142
119358191,None
816615996,16734909
248611172,14707794
248611172,16463397
248611172,16734909
248611172,132655296
248611172,28739612
14949685,None
3313427894,414460605
3313427894,1315921093
2402502044,None
41921816,1345518332
329539091,None
2750756900,None
611598902,611598902
435218222,None
17896551,16734909
843035790,None
1342976196,None
1514752100,16213404
1514752100,16734909
16213404,None
22246016,None
138559532,None
373149557,772692799967723520
823329,None
229823662,None
439249630,16213404
439249630,16734909
49579094,None
290914079,None
612440918,None
138559532,None
750520522811715584,None
599855572,9609632
599855572,83530742
599855572,16734909
618537899,None
1549362066,125486974
264175249,None
25793722,None
29420301,None
224594647,1206858936
159003619,73981267
3022615789,16213404
3022615789,16734909
3102908108,1527339204
38630406,None
1549362066,66917778
1549362066,68128023
554060122,None
17896551,None
309621851,16213404
309621851,16734909
24864618,None
4365723252,None
49975241,None
2744450418,None
746593379597721600,None
23052065,None
145837395,None
290914079,None
93589195,None
247272100,None
286573848,None
17645144,None
15011950,None
526989784,95340526
878655300,16166464
878655300,16213404
878655300,3626259139
2460748716,None
64133943,None
2877409296,66917778
2877409296,68128023
36054675,16213404
36054675,16734909
3244096784,None
497784358,None
312991399,17896551
2160931,None
420135247,None
2855113556,None
139438186,16509444
700914356372910082,None
181143477,None
899493183071035392,None
30172561,None
25907015,None
170615562,None
229823662,None
1341381270,500246788
1341381270,1486330544875003904
1341381270,16213404
81717915,16734909
81717915,16213404
154419191,None
823329,None
593660787,17503820
593660787,17456542
593660787,2768501
15715727,16734909
114452953,16213404
55113432,None
373149557,None
14657993,None
2402502044,None
29359951,None
27842273,None
2653823557,721655916005724161
309621851,16213404
16166464,878655300
16166464,16213404
16166464,3626259139
15188886,1206858936
280949386,30856378
2916395070,None
625985237,None
9104362,None
131711235,None
747219321198280704,None
138559532,None
72226544,16213404
72226544,16734909
2653823557,29420301
485209055,None
212470506,None
1425076974,16213404
258726786,None
1039673719080333313,16213404
20909123,None
17918250,None
2573938082,2916395070
153029181,None
1527339204,None
64146945,None
138559532,57569018
138559532,16213404
417797707,None
258289977,16213404
160001397,None
101423708,None
94770065,None
315651768,None
373149557,63025854
373149557,373149557
6190272,None
3356383392,1527339204
523107232,None
1033826336,None
181150381,None
797309440999309312,None
3301092947,None
31703492,497784358
519388948,16734909
310703618,16213404
197346015,None
25907015,2916395070
775059266,None
619669306,16213404
619669306,16734909
619669306,16832632
619669306,85436197
619669306,1137661725040209921
2579979278,61636429
3236203752,3236203752
1542376674,None
43413743,246058485
43413743,2768501
43413743,451586190
43413743,1516521758
43413743,2768501
261300530,None
381446240,None
313187605,None
384233102,None
823329,None
373149557,844579106
1661565902,None
337382401,16734909
483608501,None
2402502044,None
899493183071035392,None
1644849428,None
704234715989954560,None
214770574,34116377
18710072,183770461
260532533,None
136936807,None
243882040,258289977
243882040,16213404
1134217662,None
700914356372910082,None
2507337876,None
3055873556,None
618537899,None
2995868749,None
839061818819620864,None
43413743,246058485
43413743,2768501
43413743,451586190
43413743,1516521758
43413743,165660881
15715727,None
33139292,None
253410837,16213404
253410837,16734909
49975241,None
288708450,None
25664945,None
524166962,519388948
524166962,16734909
17896551,None
782959125076414464,None
60496760,None
520719713,16213404
1487213216,711699037833928704
1487213216,16734909
361514032,None
1354245038,16213404
1354245038,16734909
373149557,63025854
373149557,274249799
373149557,2688731112
37898439,16213404
445880830,None
154059448,None
27189723,1206858936
18710072,16094885
25978296,None
2724950748,None
3102908108,None
20559509,None
38392608,None
94185085,None
1738099368,16734909
2152416404,16213404
23052065,None
496762984,134646048
1039673719080333313,16213404
34775569,None
1677921235,15715727
4037978832,None
67005265,2916395070
1006726188729917440,None
306616453,519388948
306616453,16734909
2460748716,None
749740268333568000,None
1445177300,None
21163415,None
929646993831424000,None
899493183071035392,None
303525954,None
1661565902,None
229823662,None
1419366470,None
2855113556,None
579774943,20559705
579774943,1137661725040209921
579774943,43304756
107918290,None
843035790,None
2812567998,None
373149557,2688731112
747219321198280704,None
145837395,None
170931116,None
704234715989954560,None
164975989,1527339204
25036511,43304756
1943647196,None
1044448526925627392,None
2232413760,None
1527339204,None
483608501,None
29947296,None
15912718,None
483275549,None
806308487252746240,None
176811097,None
457935001,16213404
823329,None
249457691,16213404
249457691,16734909
22337121,None
60779696,None
3183927258,None
3555381912,None
134712362,17456542
134712362,16734909
384233102,None
360897540,None
17353325,445880830
3022615789,None
2175152556,None
2460748716,None
3305411754,16734909
15715727,None
18710072,1039673719080333313
18710072,16213404
21629610,153029181
224594647,None
249457691,16213404
43801405,183770461
4899639072,None
17682476,None
746593379597721600,None
3192860216,None
130668639,None
44091722,None
151543415,None
249457691,16213404
228306267,16213404
30755003,None
4763200046,None
167633479,3555381912
163728684,None
1601937732,384233102
373149557,63025854
373149557,772692799967723520
1344228505,None
21242757,None
2148305090,None
2916395070,None
48634035,16734909
983756061244055552,1498305551209537538
983756061244055552,1004144893827133442
159799485,16734909
159799485,16213404
159799485,28739612
840050405878845440,None
2396932903,None
24308172,None
18710072,23052065
43801405,170931116
424621873,None
94185085,None
3356383392,1527339204
618537899,None
2299409533,None
187376668,None
827691771735863296,None
164975989,1661565902
19684618,None
139692032,None
64133943,None
593660787,None
1146707352,None
2160931,21163415
2534046396,17456542
249372766,None
359783468,None
107918290,None
85053059,60779696
163048682,None
1215388154,None
2402502044,None
22454763,None
15227349,183770461
25036511,None
320145267,None
25664945,None
2573938082,None
253410837,16213404
29420301,None
1111034706,16734909
60779696,16734909
1206858936,None
1240165316,None
20838395,None
22348841,None
95091601,16734909
114452953,None
1631423353,16213404
700914356372910082,None
911385596932743173,2603192304
911385596932743173,16734909
911385596932743173,16213404
936010549615214592,310703618
936010549615214592,16213404
1044448526925627392,None
446764989,None
1856082044,None
28725143,611598902
42177568,None
959171051044458496,1498305551209537538
959171051044458496,1004144893827133442
14439107,None
2460748716,None
2653823557,None
881080172522250241,None
164975989,None
373149557,63025854
373149557,2688731112
78907272,None
212500856,None
2714544762,None
476234086,16734909
1022440703601782784,None
339949245,None
17682476,None
17250722,None
991234370148036608,None
25907015,None
391212472,None
270679223,None
20824424,15715727
2450695795,None
15715727,None
44091722,None
551740708,None
106286424,772692799967723520
106286424,16734909
106286424,16213404
21242757,None
170132632,445880830
249599808,None
24308172,None
162607383,None
1344228505,None
130668639,14707794
130668639,16734909
130668639,132655296
