usr_id,replies,type
578737470,14944735,REPLIES
2905105711,2727702626,REPLIES
716022162,16213404,REPLIES
500246788,4920220572,REPLIES
180569858,965795960579276801,REPLIES
248611172,811653072640299009,REPLIES
3313427894,414460605,REPLIES
41921816,1345518332,REPLIES
599855572,9609632,REPLIES
309621851,16213404,REPLIES
526989784,95340526,REPLIES
878655300,16166464,REPLIES
36054675,16213404,REPLIES
114452953,16213404,REPLIES
2653823557,804963299196477441,REPLIES
309621851,16213404,REPLIES
16166464,878655300,REPLIES
138559532,57569018,REPLIES
619669306,16213404,REPLIES
253410837,16213404,REPLIES
60496760,60496760,REPLIES
520719713,16213404,REPLIES
929646993831424000,444660325,REPLIES
457935001,16213404,REPLIES
228306267,16213404,REPLIES
159799485,16734909,REPLIES
64133943,64133943,REPLIES
25036511,25036511,REPLIES
253410837,16213404,REPLIES
1111034706,16734909,REPLIES
1631423353,16213404,REPLIES
911385596932743173,2603192304,REPLIES
936010549615214592,310703618,REPLIES
130668639,14707794,REPLIES
268528079,16213404,REPLIES
940019184657825792,16213404,REPLIES
43801405,16213404,REPLIES
457935001,16213404,REPLIES
59389707,16213404,REPLIES
14439107,14439107,REPLIES
1248016358,16734909,REPLIES
572517071,16213404,REPLIES
2675562673,16213404,REPLIES
1051794430359826432,16213404,REPLIES
940019184657825792,16213404,REPLIES
1557458935,16213404,REPLIES
933826171,16213404,REPLIES
1060338999611420672,16213404,REPLIES
2507337876,804963299196477441,REPLIES
25036511,25036511,REPLIES
309621851,16213404,REPLIES
457935001,16213404,REPLIES
20355179,16213404,REPLIES
349944567,16213404,REPLIES
394529489,16213404,REPLIES
309621851,16213404,REPLIES
114452953,16213404,REPLIES
25036511,25036511,REPLIES
1040425817136750592,16213404,REPLIES
156794570,16213404,REPLIES
2653823557,25297301,REPLIES
3305569202,16213404,REPLIES
1020168871246888960,16213404,REPLIES
34775569,16734909,REPLIES
932911346,95091601,REPLIES
208051179,16213404,REPLIES
25036511,25036511,REPLIES
2281867076,16213404,REPLIES
562536268,16213404,REPLIES
53510256,1152887473,REPLIES
23714546,16213404,REPLIES
220271183,16213404,REPLIES
25036511,25036511,REPLIES
2148305090,1215388154,REPLIES
2579554963,42868418,REPLIES
3102908108,42868418,REPLIES
827691771735863296,34116377,REPLIES
219089769,16734909,REPLIES
3142098131,16213404,REPLIES
1054759711,16213404,REPLIES
60016017,20355179,REPLIES
870142774582026246,14944735,REPLIES
394529489,16213404,REPLIES
805322383217160192,14707794,REPLIES
202131330,16213404,REPLIES
936010549615214592,420135247,REPLIES
15715727,16734909,REPLIES
3305569202,16213404,REPLIES
272761009,16213404,REPLIES
891638122018095104,16213404,REPLIES
3040447639,16213404,REPLIES
22187462,2603192304,REPLIES
886742549209030656,16213404,REPLIES
273939142,1242409188,REPLIES
169840366,16213404,REPLIES
25036511,25036511,REPLIES
2594593944,16213404,REPLIES
2594593944,2594593944,REPLIES
1031120657013071872,76842602,REPLIES
1055381716934713344,16213404,REPLIES
384789530,78851923,REPLIES
324901003,16213404,REPLIES
815036728314511360,1425076974,REPLIES
562536268,16213404,REPLIES
833553929396826112,16213404,REPLIES
932135957158961152,16213404,REPLIES
20355179,16213404,REPLIES
414460605,414460605,REPLIES
941608664196046848,16213404,REPLIES
15672964,16213404,REPLIES
394529489,16213404,REPLIES
1330730270,1152315522,REPLIES
556772027,16213404,REPLIES
15510386,16213404,REPLIES
20838395,20838395,REPLIES
4899639072,246058485,REPLIES
219089769,76842602,REPLIES
3305569202,16213404,REPLIES
60016017,309621851,REPLIES
169840366,16213404,REPLIES
1024196881365102593,16213404,REPLIES
304856790,224592951,REPLIES
929646993831424000,16213404,REPLIES
1010376162973892608,16213404,REPLIES
414460605,414460605,REPLIES
25036511,25036511,REPLIES
2594593944,16213404,REPLIES
228306267,16213404,REPLIES
822293729843085313,16734909,REPLIES
202131330,16213404,REPLIES
1494336758,16213404,REPLIES
3789793212,16213404,REPLIES
919858469783531521,175243720,REPLIES
21171643,16213404,REPLIES
2958986096,16213404,REPLIES
1389313368,25297301,REPLIES
24640156,16213404,REPLIES
414460605,414460605,REPLIES
1000523039321161728,16213404,REPLIES
3166346636,16734909,REPLIES
941608664196046848,16213404,REPLIES
42177568,42177568,REPLIES
864068905,16213404,REPLIES
286872483,16213404,REPLIES
3714279612,16213404,REPLIES
154383048,16734909,REPLIES
29714420,16213404,REPLIES
25036511,25036511,REPLIES
984372566,16213404,REPLIES
490004654,16213404,REPLIES
756691491582513152,16213404,REPLIES
517357328,16213404,REPLIES
3601291334,16213404,REPLIES
60016017,16213404,REPLIES
712322838,16213404,REPLIES
1155947208,29420301,REPLIES
58777157,2845114789,REPLIES
56352779,1033826336,REPLIES
827691771735863296,20559705,REPLIES
825558266436390912,26694521,REPLIES
2636211890,16213404,REPLIES
15250661,15250661,REPLIES
490004654,16213404,REPLIES
3305569202,16213404,REPLIES
414460605,414460605,REPLIES
394529489,16213404,REPLIES
25036511,25036511,REPLIES
220271183,16213404,REPLIES
388201600,16213404,REPLIES
36883461,16213404,REPLIES
382604857,15250661,REPLIES
185991141,15250661,REPLIES
309621851,16213404,REPLIES
81559648,81559648,REPLIES
2753784414,16213404,REPLIES
588253958,16213404,REPLIES
414460605,414460605,REPLIES
36054675,20559705,REPLIES
295585728,915734355137277953,REPLIES
388201600,16213404,REPLIES
2708534060,16213404,REPLIES
490004654,16213404,REPLIES
2594593944,16213404,REPLIES
33139292,18131073,REPLIES
1401600204,19263735,REPLIES
941608664196046848,16213404,REPLIES
3305569202,16213404,REPLIES
1330730270,20838395,REPLIES
60496760,60496760,REPLIES
3166153645,258289977,REPLIES
3714279612,16213404,REPLIES
463524240,15250661,REPLIES
1557458935,117663382,REPLIES
3200012381,16213404,REPLIES
43084948,16213404,REPLIES
475780866,3048270170,REPLIES
1055381716934713344,16213404,REPLIES
152803111,414460605,REPLIES
228306267,16213404,REPLIES
25036511,25036511,REPLIES
827843955106516992,804963299196477441,REPLIES
3684853116,3684853116,REPLIES
81559648,81559648,REPLIES
492940222,16734909,REPLIES
19330898,16734909,REPLIES
219089769,183770461,REPLIES
25634910,9609632,REPLIES
286872483,16213404,REPLIES
15250661,15250661,REPLIES
361514032,361514032,REPLIES
414460605,414460605,REPLIES
899012530281922560,16213404,REPLIES
55413868,16213404,REPLIES
252591436,16213404,REPLIES
21186192,21186192,REPLIES
7009202,16734909,REPLIES
1389313368,95091601,REPLIES
130668639,25297301,REPLIES
919886284033687552,104758530,REPLIES
202131330,16213404,REPLIES
310703618,246058485,REPLIES
149318916,16213404,REPLIES
869847478320848896,57569018,REPLIES
388201600,16213404,REPLIES
1060459507912830976,16213404,REPLIES
3684853116,3684853116,REPLIES
58453852,16213404,REPLIES
1722097998,16213404,REPLIES
1420489382,1389313368,REPLIES
1040425817136750592,16213404,REPLIES
3714279612,1030651830374551555,REPLIES
184110998,16213404,REPLIES
25036511,25036511,REPLIES
280949386,280949386,REPLIES
1330730270,477622036,REPLIES
130668639,16834659,REPLIES
1060459691874996224,16213404,REPLIES
19263735,1401600204,REPLIES
2874904873,16213404,REPLIES
899012530281922560,855328469311291393,REPLIES
1882534884,16834659,REPLIES
414460605,414460605,REPLIES
