usr_id,hashtags,type
1903307984,qanda,HASHTAGS
19959615,qanda,HASHTAGS
899493183071035392,qanda,HASHTAGS
63028705,qanda,HASHTAGS
1527339204,qanda,HASHTAGS
1527339204,auspol,HASHTAGS
2711602693,auspol,HASHTAGS
168841729,qanda,HASHTAGS
294292505,popcorn,HASHTAGS
294292505,qanda,HASHTAGS
814568231495077892,qanda,HASHTAGS
255437360,qanda,HASHTAGS
567171596,qanda,HASHTAGS
131711235,qanda,HASHTAGS
716022162,qanda,HASHTAGS
716022162,auspol,HASHTAGS
106286424,qanda,HASHTAGS
260532533,qanda,HASHTAGS
899493183071035392,qanda,HASHTAGS
747219321198280704,qanda,HASHTAGS
21463094,qanda,HASHTAGS
21463094,4corners,HASHTAGS
1344228505,qanda,HASHTAGS
2584844574,qanda,HASHTAGS
2584844574,nojacket,HASHTAGS
3356383392,qanda,HASHTAGS
3356383392,auspol,HASHTAGS
704234715989954560,qanda,HASHTAGS
500246788,qanda,HASHTAGS
816615996,qanda,HASHTAGS
2402502044,qanda,HASHTAGS
329539091,qanda,HASHTAGS
2750756900,qanda,HASHTAGS
435218222,qanda,HASHTAGS
17896551,qanda,HASHTAGS
843035790,qanda,HASHTAGS
1514752100,qanda,HASHTAGS
16213404,qanda,HASHTAGS
22246016,qanda,HASHTAGS
138559532,qanda,HASHTAGS
373149557,libspill,HASHTAGS
373149557,auspol,HASHTAGS
373149557,qanda,HASHTAGS
823329,qanda,HASHTAGS
229823662,qanda,HASHTAGS
439249630,qanda,HASHTAGS
49579094,qanda,HASHTAGS
49579094,noleatherjacket,HASHTAGS
49579094,turnsoffindisgust,HASHTAGS
290914079,qanda,HASHTAGS
612440918,qanda,HASHTAGS
612440918,auspol,HASHTAGS
138559532,qanda,HASHTAGS
750520522811715584,qanda,HASHTAGS
618537899,qanda,HASHTAGS
264175249,qanda,HASHTAGS
25793722,putoutyourjackets,HASHTAGS
25793722,qanda,HASHTAGS
29420301,qanda,HASHTAGS
224594647,qanda,HASHTAGS
159003619,turnbull,HASHTAGS
159003619,q,HASHTAGS
3022615789,qanda,HASHTAGS
3102908108,qanda,HASHTAGS
3102908108,auspol,HASHTAGS
38630406,qanda,HASHTAGS
1549362066,auspol,HASHTAGS
554060122,qanda,HASHTAGS
554060122,malcolmtalks,HASHTAGS
17896551,qanda,HASHTAGS
309621851,qanda,HASHTAGS
309621851,malcolmturnbull,HASHTAGS
309621851,goldmansachs,HASHTAGS
24864618,qanda,HASHTAGS
4365723252,qanda,HASHTAGS
49975241,qanda,HASHTAGS
2744450418,qanda,HASHTAGS
746593379597721600,qanda,HASHTAGS
746593379597721600,turningoff,HASHTAGS
23052065,qanda,HASHTAGS
145837395,qanda,HASHTAGS
290914079,lukefoley,HASHTAGS
290914079,qanda,HASHTAGS
93589195,qanda,HASHTAGS
93589195,auspol,HASHTAGS
247272100,qanda,HASHTAGS
286573848,qanda,HASHTAGS
17645144,qanda,HASHTAGS
15011950,qanda,HASHTAGS
526989784,qanda,HASHTAGS
2460748716,qanda,HASHTAGS
2877409296,auspol,HASHTAGS
36054675,qanda,HASHTAGS
3244096784,qanda,HASHTAGS
497784358,qanda,HASHTAGS
312991399,qanda,HASHTAGS
2160931,qanda,HASHTAGS
420135247,auspol,HASHTAGS
420135247,qanda,HASHTAGS
2855113556,qanda,HASHTAGS
700914356372910082,qanda,HASHTAGS
181143477,qanda,HASHTAGS
899493183071035392,qanda,HASHTAGS
30172561,qanda,HASHTAGS
25907015,qanda,HASHTAGS
170615562,qanda,HASHTAGS
229823662,qanda,HASHTAGS
154419191,qanda,HASHTAGS
154419191,auspol,HASHTAGS
823329,qanda,HASHTAGS
15715727,qanda,HASHTAGS
373149557,libspill,HASHTAGS
373149557,turnbull,HASHTAGS
373149557,israel,HASHTAGS
373149557,cathywilcox1,HASHTAGS
373149557,auspol,HASHTAGS
373149557,qanda,HASHTAGS
14657993,qanda,HASHTAGS
2402502044,qanda,HASHTAGS
29359951,qanda,HASHTAGS
27842273,qanda,HASHTAGS
2653823557,qanda,HASHTAGS
309621851,qanda,HASHTAGS
309621851,malcolmturnbull,HASHTAGS
309621851,goldmansachs,HASHTAGS
15188886,qanda,HASHTAGS
2916395070,qanda,HASHTAGS
2916395070,auspol,HASHTAGS
625985237,qanda,HASHTAGS
9104362,qanda,HASHTAGS
131711235,qanda,HASHTAGS
747219321198280704,qanda,HASHTAGS
138559532,qanda,HASHTAGS
72226544,qanda,HASHTAGS
