usr_id,mentions,type
18710072,16094885,MENTIONS
1738099368,16734909,MENTIONS
2152416404,16213404,MENTIONS
496762984,134646048,MENTIONS
1039673719080333313,16213404,MENTIONS
1677921235,15715727,MENTIONS
67005265,2916395070,MENTIONS
306616453,519388948,MENTIONS
306616453,16734909,MENTIONS
579774943,20559705,MENTIONS
579774943,1137661725040209921,MENTIONS
579774943,43304756,MENTIONS
373149557,2688731112,MENTIONS
164975989,1527339204,MENTIONS
25036511,43304756,MENTIONS
457935001,16213404,MENTIONS
249457691,16213404,MENTIONS
249457691,16734909,MENTIONS
134712362,17456542,MENTIONS
134712362,16734909,MENTIONS
17353325,445880830,MENTIONS
3305411754,16734909,MENTIONS
18710072,1039673719080333313,MENTIONS
18710072,16213404,MENTIONS
21629610,153029181,MENTIONS
249457691,16213404,MENTIONS
43801405,183770461,MENTIONS
249457691,16213404,MENTIONS
228306267,16213404,MENTIONS
167633479,3555381912,MENTIONS
1601937732,384233102,MENTIONS
373149557,63025854,MENTIONS
373149557,772692799967723520,MENTIONS
48634035,16734909,MENTIONS
983756061244055552,1498305551209537538,MENTIONS
983756061244055552,1004144893827133442,MENTIONS
159799485,16734909,MENTIONS
159799485,16213404,MENTIONS
159799485,28739612,MENTIONS
18710072,23052065,MENTIONS
43801405,170931116,MENTIONS
3356383392,1527339204,MENTIONS
164975989,1661565902,MENTIONS
2160931,21163415,MENTIONS
2534046396,17456542,MENTIONS
85053059,60779696,MENTIONS
15227349,183770461,MENTIONS
253410837,16213404,MENTIONS
1111034706,16734909,MENTIONS
60779696,16734909,MENTIONS
95091601,16734909,MENTIONS
1631423353,16213404,MENTIONS
911385596932743173,2603192304,MENTIONS
911385596932743173,16734909,MENTIONS
911385596932743173,16213404,MENTIONS
936010549615214592,310703618,MENTIONS
936010549615214592,16213404,MENTIONS
28725143,611598902,MENTIONS
959171051044458496,1498305551209537538,MENTIONS
959171051044458496,1004144893827133442,MENTIONS
373149557,63025854,MENTIONS
373149557,2688731112,MENTIONS
476234086,16734909,MENTIONS
20824424,15715727,MENTIONS
106286424,772692799967723520,MENTIONS
106286424,16734909,MENTIONS
106286424,16213404,MENTIONS
170132632,445880830,MENTIONS
130668639,14707794,MENTIONS
130668639,16734909,MENTIONS
130668639,132655296,MENTIONS
130668639,16463397,MENTIONS
268528079,16213404,MENTIONS
1487213216,2916395070,MENTIONS
66917778,16734909,MENTIONS
940019184657825792,16213404,MENTIONS
940019184657825792,16734909,MENTIONS
43801405,16213404,MENTIONS
43801405,16734909,MENTIONS
580800202,60779696,MENTIONS
63710101,16213404,MENTIONS
373149557,63025854,MENTIONS
373149557,999124148,MENTIONS
457935001,16213404,MENTIONS
374512020,16213404,MENTIONS
580800202,29420301,MENTIONS
59389707,16213404,MENTIONS
1155947208,16734909,MENTIONS
224988372,16213404,MENTIONS
2573938082,2916395070,MENTIONS
164131639,66917778,MENTIONS
265219835,16734909,MENTIONS
265219835,18658280,MENTIONS
265219835,16213404,MENTIONS
35916487,16213404,MENTIONS
35916487,16734909,MENTIONS
168130981,519388948,MENTIONS
168130981,16734909,MENTIONS
163767099,195635551,MENTIONS
1248016358,16734909,MENTIONS
572517071,16213404,MENTIONS
572517071,16734909,MENTIONS
2675562673,16213404,MENTIONS
25978296,17250722,MENTIONS
2351048336,16734909,MENTIONS
2351048336,88593058,MENTIONS
2351048336,55432787,MENTIONS
2351048336,17218802,MENTIONS
2351048336,18179497,MENTIONS
76842602,16734909,MENTIONS
1051794430359826432,16213404,MENTIONS
820757887299399680,34216271,MENTIONS
940019184657825792,16213404,MENTIONS
940019184657825792,16734909,MENTIONS
1557458935,16213404,MENTIONS
1557458935,16734909,MENTIONS
933826171,16213404,MENTIONS
2457588668,110399904,MENTIONS
