usr_id,replies,type
270874057,3012189590,REPLIES
2171719285,21075591,REPLIES
346373863,171437375,REPLIES
3583964352,60779696,REPLIES
4856510102,4562829133,REPLIES
2655081289,337382401,REPLIES
166328555,11781162,REPLIES
270679223,60779696,REPLIES
83202301,16213404,REPLIES
792356257,156464691,REPLIES
29714420,16213404,REPLIES
2803016864,25062474,REPLIES
852207218,16834659,REPLIES
932911346,866909897048207360,REPLIES
1030416162721431554,31585344,REPLIES
490097102,16734909,REPLIES
853014655689609216,16834659,REPLIES
397811354,1017297717796597760,REPLIES
1669796893,2615581908,REPLIES
1016604071795384320,95766807,REPLIES
827351735370862593,164178673,REPLIES
827826237322072064,17250722,REPLIES
2171719285,369349553,REPLIES
2171719285,269721794,REPLIES
826273894889779200,121639467,REPLIES
47834838,134646048,REPLIES
3038915466,16213404,REPLIES
1669796893,2837205452,REPLIES
2161450206,134646048,REPLIES
19489002,171437375,REPLIES
1273711201,4562829133,REPLIES
406906282,16213404,REPLIES
747005330,95091601,REPLIES
2213249280,17250722,REPLIES
818396629640232960,16213404,REPLIES
2175547129,16734909,REPLIES
727695742769336320,66612373,REPLIES
4562829133,1273711201,REPLIES
818396629640232960,306153036,REPLIES
818396629640232960,18321490,REPLIES
2213249280,16834659,REPLIES
818396629640232960,948076733034401792,REPLIES
1058740290578718720,27831488,REPLIES
818396629640232960,153773624,REPLIES
720130266,121639467,REPLIES
728510492273074176,21075591,REPLIES
818396629640232960,255437360,REPLIES
37622069,11781162,REPLIES
788532504626012160,16094885,REPLIES
818396629640232960,117663382,REPLIES
1601937732,922294461186453504,REPLIES
575295839,52320140,REPLIES
916119991,16834659,REPLIES
21072785,25036511,REPLIES
4875432925,16463397,REPLIES
2441617381,3581271734,REPLIES
970089708851159042,16213404,REPLIES
916119991,465936656,REPLIES
404508332,2603192304,REPLIES
1146341346,160856325,REPLIES
575295839,66612373,REPLIES
546765821,546765821,REPLIES
728510492273074176,16213404,REPLIES
518124725,16734909,REPLIES
3087496429,16213404,REPLIES
2556511814,68640609,REPLIES
117602839,66917778,REPLIES
2773012519,1009022579900702721,REPLIES
731040612846182400,1113341312,REPLIES
842258560499109888,17831767,REPLIES
3218825124,31585344,REPLIES
779278891638632448,2555478498,REPLIES
999227088681881602,21075591,REPLIES
34616293,277587532,REPLIES
241662602,124473350,REPLIES
224160730,16094885,REPLIES
185991141,17250722,REPLIES
779278891638632448,554170358,REPLIES
4856510102,17831767,REPLIES
34616293,3789793212,REPLIES
44340706,16094885,REPLIES
619017465,20138772,REPLIES
1100007859,23879043,REPLIES
2213249280,124473350,REPLIES
564488633,16213404,REPLIES
3017117025,1113341312,REPLIES
875443196,4588114813,REPLIES
1368100356,15815674,REPLIES
779278891638632448,1557458935,REPLIES
23865602,11781162,REPLIES
923120359808704512,20138772,REPLIES
1412036527,710209086,REPLIES
3163038860,2370992856,REPLIES
820092093783605248,237920909,REPLIES
2685926647,16213404,REPLIES
1100007859,23879043,REPLIES
2906724325,249895981,REPLIES
884458780657831936,16734909,REPLIES
1348465843,16213404,REPLIES
869760641325645824,2603192304,REPLIES
923120359808704512,16213404,REPLIES
66917778,329533140,REPLIES
986440664719097856,262512212,REPLIES
349572767,60779696,REPLIES
324908191,17831767,REPLIES
158871917,21075591,REPLIES
1498326793,235133746,REPLIES
233319280,1113341312,REPLIES
90749334,16734909,REPLIES
165720523,1113341312,REPLIES
970113980780896256,16094885,REPLIES
621770560,76842602,REPLIES
1034284633,1132832803,REPLIES
158871917,21075591,REPLIES
2957662632,23879043,REPLIES
2507342209,1113341312,REPLIES
3166153645,66917778,REPLIES
1170624643,16213404,REPLIES
21727982,21075591,REPLIES
224160730,1113341312,REPLIES
954932857138331653,121639467,REPLIES
243495444,2191781708,REPLIES
1390255747,16213404,REPLIES
228853466,66612373,REPLIES
158871917,1240407498,REPLIES
624461722,18753424,REPLIES
188143601,16213404,REPLIES
922361848703328257,16213404,REPLIES
176306346,1029612428026204160,REPLIES
292236129,22993014,REPLIES
29359951,842258560499109888,REPLIES
158871917,183770461,REPLIES
2371322222,16213404,REPLIES
35580960,16734909,REPLIES
88289871,16213404,REPLIES
20352984,2768501,REPLIES
2483358715,19050000,REPLIES
546765821,1060067456884985856,REPLIES
546765821,1060067456884985856,REPLIES
233319280,121639467,REPLIES
928190600385458181,28026149,REPLIES
35900933,160856325,REPLIES
404508332,26607837,REPLIES
937243536549748738,937243536549748738,REPLIES
1348465843,16213404,REPLIES
970113980780896256,176306346,REPLIES
398007505,944465451727314944,REPLIES
371562839,16213404,REPLIES
937243536549748738,1333360170,REPLIES
2685926647,20032587,REPLIES
400495760,984558778375749632,REPLIES
417047832,31585344,REPLIES
970113980780896256,730692610675724289,REPLIES
842258560499109888,29359951,REPLIES
305851108,108273993,REPLIES
785019956949716992,237612784,REPLIES
228853466,626294220,REPLIES
575295839,571488084,REPLIES
954104734822023169,121639467,REPLIES
575295839,1333360170,REPLIES
176306346,970113980780896256,REPLIES
1029275871754870785,2884771,REPLIES
233319280,22993014,REPLIES
179071092,21075591,REPLIES
42571871,19489002,REPLIES
17353325,575295839,REPLIES
253410837,571488084,REPLIES
179071092,487332963,REPLIES
35900933,178668890,REPLIES
785019956949716992,76842602,REPLIES
1333360170,95091601,REPLIES
44340706,399265360,REPLIES
903822128155262976,18753424,REPLIES
51898019,499696436,REPLIES
2681948222,66917778,REPLIES
179071092,262512212,REPLIES
1038970825699774465,730692610675724289,REPLIES
3502788140,233319280,REPLIES
380775559,393762976,REPLIES
1333360170,1333360170,REPLIES
827351735370862593,164178673,REPLIES
762906414041837568,1057611964094939136,REPLIES
303590108,3555381912,REPLIES
970113980780896256,253410837,REPLIES
35900933,176749827,REPLIES
914249614848548864,1040425817136750592,REPLIES
2817851108,723151752,REPLIES
3315691627,139328853,REPLIES
1018611146159374336,2904009019,REPLIES
762906414041837568,1228096075,REPLIES
4875432925,16463397,REPLIES
762906414041837568,933709050,REPLIES
398007505,398007505,REPLIES
1333360170,99370007,REPLIES
352632770,519388948,REPLIES
57956162,1333360170,REPLIES
172081908,172081908,REPLIES
224160730,14707794,REPLIES
57956162,4286365994,REPLIES
25801841,626294220,REPLIES
2338024555,842258560499109888,REPLIES
224160730,185614627,REPLIES
1463314856,224160730,REPLIES
475780866,574166644,REPLIES
42553701,614246029,REPLIES
560664451,125486974,REPLIES
356152204,2483358715,REPLIES
629050900,34116377,REPLIES
175243720,99370007,REPLIES
1012662663472545794,2603192304,REPLIES
2842485422,465936656,REPLIES
1012662663472545794,1012662663472545794,REPLIES
1549267111,21075591,REPLIES
953520138216550400,93766096,REPLIES
2816769210,21075591,REPLIES
1012662663472545794,2603192304,REPLIES
769150197091954689,769162501204373504,REPLIES
842258560499109888,2338024555,REPLIES
827467712968347652,2159963712,REPLIES
740371440,1113341312,REPLIES
175243720,15250661,REPLIES
57837555,903822128155262976,REPLIES
1020090815601786880,1333360170,REPLIES
720275402,171437375,REPLIES
24799296,17250722,REPLIES
431102415,14707794,REPLIES
1012662663472545794,623582827,REPLIES
842258560499109888,29359951,REPLIES
1041264549943377920,16213404,REPLIES
373266120,16834659,REPLIES
840352775628193793,11781162,REPLIES
60016017,758582902518972417,REPLIES
3220782043,571488084,REPLIES
3570365773,3163038860,REPLIES
53545152,741819608,REPLIES
899012530281922560,108273993,REPLIES
84446316,1463314856,REPLIES
4904265235,18753424,REPLIES
522035349,30390734,REPLIES
497629268,16834659,REPLIES
29394672,266010557,REPLIES
979914485086404609,16463397,REPLIES
497629268,46028458,REPLIES
1011026495500738561,2904009019,REPLIES
3317703554,224160730,REPLIES
3225076710,14707794,REPLIES
3163038860,14707794,REPLIES
800262170,2916395070,REPLIES
96642023,2592733051,REPLIES
2659475605,15250661,REPLIES
585596777,326795477,REPLIES
2685926647,305980198,REPLIES
978768111825387520,125486974,REPLIES
373092327,2949879206,REPLIES
897367710568296448,15250661,REPLIES
237612784,57524926,REPLIES
2411567600,1113341312,REPLIES
925225981190606850,800112243312500736,REPLIES
487332963,179071092,REPLIES
22724690,16834659,REPLIES
701671674056298496,16213404,REPLIES
937243536549748738,1333360170,REPLIES
842258560499109888,29359951,REPLIES
2659475605,15250661,REPLIES
2553796424,137892503,REPLIES
107918290,16834659,REPLIES
2685926647,9609632,REPLIES
11072702,2393625326,REPLIES
1038970825699774465,43525891,REPLIES
884175670271660032,57956162,REPLIES
116825202,57524926,REPLIES
294292505,965379807398707200,REPLIES
1049181952996073474,16834659,REPLIES
1011026495500738561,414460605,REPLIES
2589086480,15250661,REPLIES
119221622,17250722,REPLIES
1536446748,1033527651833503744,REPLIES
907152277,190638538,REPLIES
60016017,748821764046594048,REPLIES
219889961,25036511,REPLIES
734691288801382400,70617159,REPLIES
292236129,16834659,REPLIES
104758530,66917778,REPLIES
57956162,1333360170,REPLIES
612998177,16834659,REPLIES
1028574977153368065,1333360170,REPLIES
884175670271660032,16627712,REPLIES
244480670,395011525,REPLIES
35900933,60779696,REPLIES
287644946,1113341312,REPLIES
525006087,16834659,REPLIES
630679523,17250722,REPLIES
29396708,137892503,REPLIES
2479088160,16834659,REPLIES
321223329,16834659,REPLIES
1010531617805238272,25036511,REPLIES
612852514,757457148,REPLIES
948833868,377891222,REPLIES
950861076,369349553,REPLIES
948833868,377891222,REPLIES
228306267,16834659,REPLIES
79899778,732492601,REPLIES
452721196,16834659,REPLIES
119221622,119221622,REPLIES
28295539,34198028,REPLIES
249542612,16834659,REPLIES
2425228806,118942188,REPLIES
1641441979,16094885,REPLIES
950861076,16834659,REPLIES
42553701,17337738,REPLIES
308425996,16213404,REPLIES
2425228806,465936656,REPLIES
2255269771,21075591,REPLIES
226857183,2351162450,REPLIES
268639069,1333360170,REPLIES
1045495981146402816,16834659,REPLIES
2222997690,95091601,REPLIES
912342698,15476712,REPLIES
843293362228621313,16834659,REPLIES
104758530,47256341,REPLIES
560609578,398007505,REPLIES
1007246490698301440,487332963,REPLIES
71172514,16734909,REPLIES
83024243,16834659,REPLIES
451800201,16675569,REPLIES
249542612,16834659,REPLIES
1010531617805238272,1113341312,REPLIES
15476712,912342698,REPLIES
2180795533,16834659,REPLIES
623732328,2338024555,REPLIES
1269350532,1141446830,REPLIES
71172514,16734909,REPLIES
792669004162666497,34116377,REPLIES
1035462766243373057,16213404,REPLIES
705638477954568192,487332963,REPLIES
18301197,16213404,REPLIES
560609578,505056752,REPLIES
1398778770,9609632,REPLIES
2459630112,2431208312,REPLIES
2799505712,16734909,REPLIES
2351162450,755171496901746689,REPLIES
518578086,918991401706250240,REPLIES
964002307175170049,16834659,REPLIES
3908995452,842258560499109888,REPLIES
35339215,16734909,REPLIES
1333360170,76842602,REPLIES
2875756267,2768501,REPLIES
152833657,76842602,REPLIES
796602371384090625,16834659,REPLIES
328923693,983169181871816704,REPLIES
522158686,60483082,REPLIES
49400591,13929092,REPLIES
251440033,71172514,REPLIES
1906743404,1333360170,REPLIES
1906743404,16734909,REPLIES
198296897,2837256067,REPLIES
1665917820,727774679293923329,REPLIES
964002307175170049,16834659,REPLIES
1906743404,1333360170,REPLIES
1058159395656261632,76842602,REPLIES
577792575,465936656,REPLIES
366446465,108273993,REPLIES
499718905,819705099094134784,REPLIES
980630772187938816,176749827,REPLIES
3714279612,256344641,REPLIES
1401600204,190638538,REPLIES
916119991,1016202864174116864,REPLIES
292236129,369158562,REPLIES
1029846921433608192,1526946950,REPLIES
18301197,515762411,REPLIES
1181966660,467004982,REPLIES
1038970825699774465,16834659,REPLIES
916119991,365170898,REPLIES
17668669,76842602,REPLIES
16073596,16073596,REPLIES
114528283,814992349,REPLIES
312420231,160856325,REPLIES
1664965460,16509444,REPLIES
22887776,571488084,REPLIES
2497305128,1333360170,REPLIES
3279390924,16734909,REPLIES
577792575,577792575,REPLIES
866070061882023936,75961380,REPLIES
786015995206905856,1033188114179604480,REPLIES
1035408508403900416,334053327,REPLIES
1924903579,626294220,REPLIES
370518890,16834659,REPLIES
73094319,4856510102,REPLIES
370518890,16834659,REPLIES
474787261,22705952,REPLIES
303590108,28970958,REPLIES
869758549060075520,1228096075,REPLIES
926590755153461248,137198586,REPLIES
464276020,51988214,REPLIES
181939887,28785486,REPLIES
44820390,355525834,REPLIES
508741229,786015995206905856,REPLIES
866070061882023936,1348208160,REPLIES
1272219678,726641791521316864,REPLIES
2497305128,467004982,REPLIES
2511543733,1463314856,REPLIES
18030713,137198586,REPLIES
508741229,1141446830,REPLIES
67005265,16094885,REPLIES
916119991,626294220,REPLIES
920597764311941120,4505510964,REPLIES
1181966660,95091601,REPLIES
2707780350,11781162,REPLIES
1308947066,16213404,REPLIES
324181192,1141446830,REPLIES
140092199,38108726,REPLIES
1309762062,703308253,REPLIES
487332963,705638477954568192,REPLIES
916119991,31585344,REPLIES
289273038,16094885,REPLIES
181939887,95064543,REPLIES
292236129,92624890,REPLIES
1032189389126885376,2507519377,REPLIES
19198034,60454133,REPLIES
912342698,15476712,REPLIES
1466312012,16734909,REPLIES
4856510102,73094319,REPLIES
546765821,16644176,REPLIES
230707578,16734909,REPLIES
236181116,259897672,REPLIES
1918976136,17831767,REPLIES
108462429,198296897,REPLIES
19198034,60454133,REPLIES
770756648201662464,22573600,REPLIES
1032908934846115840,16834659,REPLIES
842258560499109888,252692962,REPLIES
146798545,146798545,REPLIES
4856510102,780722961095327747,REPLIES
3431296152,4899639072,REPLIES
175243720,21075591,REPLIES
32592955,747885404,REPLIES
30186083,17250722,REPLIES
61136501,25297301,REPLIES
228853466,171437375,REPLIES
866070061882023936,16213404,REPLIES
911136404964491264,911136404964491264,REPLIES
2215288760,16213404,REPLIES
1383231247,137198586,REPLIES
2334116442,17503820,REPLIES
399320525,1526946950,REPLIES
224160730,2511543733,REPLIES
20110660,17250722,REPLIES
445246334,139328853,REPLIES
775503006,17503820,REPLIES
203748618,114040486,REPLIES
2589086480,17503820,REPLIES
167957742,16734909,REPLIES
446764989,17503820,REPLIES
897367710568296448,16213404,REPLIES
399320525,74382140,REPLIES
3029783283,17503820,REPLIES
891996374698344450,17250722,REPLIES
802794905621774336,17503820,REPLIES
1597408068,988615534953480192,REPLIES
959668204216844288,16213404,REPLIES
2236728919,369158562,REPLIES
931707540,2608740770,REPLIES
33095708,2496389714,REPLIES
53671958,16734909,REPLIES
636186580,467004982,REPLIES
539878781,16734909,REPLIES
83344828,16834659,REPLIES
60016017,17503820,REPLIES
53671958,16734909,REPLIES
388125509,377891222,REPLIES
42553701,17337738,REPLIES
965127898213449729,458109833,REPLIES
1936136322,16834659,REPLIES
270679223,17503820,REPLIES
2204806447,1141446830,REPLIES
2511543733,224160730,REPLIES
363822984,237612784,REPLIES
612591093,32201814,REPLIES
3225076710,16734909,REPLIES
1024614557858189312,16734909,REPLIES
756709253046558721,16213404,REPLIES
1011026495500738561,17503820,REPLIES
44303297,806192713,REPLIES
724565296774676482,17503820,REPLIES
820092093783605248,16834659,REPLIES
762373104,163662008,REPLIES
836326702242385920,32201814,REPLIES
398007505,944465451727314944,REPLIES
14118410,32201814,REPLIES
1576992871,43304756,REPLIES
2933425093,16213404,REPLIES
1708574071,66917778,REPLIES
19198034,60454133,REPLIES
628249435,43792125,REPLIES
903822128155262976,16834659,REPLIES
21795407,16734909,REPLIES
1351202461,99370007,REPLIES
2590542510,21075591,REPLIES
804082501043924992,16213404,REPLIES
603211067,9609582,REPLIES
200068179,48673284,REPLIES
19198034,416950760,REPLIES
852207218,16834659,REPLIES
26910186,16213404,REPLIES
4155047233,384233102,REPLIES
452378632,16834659,REPLIES
416950760,18030713,REPLIES
17507063,17503820,REPLIES
33786315,27572392,REPLIES
1884857384,16213404,REPLIES
4920220572,16213404,REPLIES
1903829448,17503820,REPLIES
21795407,34198028,REPLIES
2262761306,2603192304,REPLIES
628249435,2615581908,REPLIES
468161947,43304756,REPLIES
423687534,34116377,REPLIES
1708574071,1708574071,REPLIES
568731657,16834659,REPLIES
165720523,1113341312,REPLIES
4415639778,67166472,REPLIES
330126219,1113341312,REPLIES
806192713,44303297,REPLIES
242936818,758900688,REPLIES
452378632,16834659,REPLIES
628249435,62628195,REPLIES
2633885004,16213404,REPLIES
1662049748,58808497,REPLIES
1170267488,2349488580,REPLIES
1029846921433608192,9235982,REPLIES
887598800453255169,13006932,REPLIES
1708574071,1113341312,REPLIES
931707540,2603192304,REPLIES
292236129,3078836653,REPLIES
185554632,246716700,REPLIES
78589386,1315638931,REPLIES
143700699,710072044096860161,REPLIES
544677406,237612784,REPLIES
222686829,16213404,REPLIES
22850770,1113341312,REPLIES
213854857,176399002,REPLIES
171699484,171699484,REPLIES
246716700,185554632,REPLIES
544677406,544677406,REPLIES
185554632,25297301,REPLIES
28781392,17503820,REPLIES
1058159395656261632,2768501,REPLIES
2465229338,16509444,REPLIES
1359038136,17250722,REPLIES
3030150779,17503820,REPLIES
1388148914,25297301,REPLIES
47583167,1113341312,REPLIES
512774696,17503820,REPLIES
927388044,16734909,REPLIES
41306775,17250722,REPLIES
4664424691,118942188,REPLIES
213854857,27831488,REPLIES
40068395,246058485,REPLIES
343304139,546765821,REPLIES
1018422037,9609632,REPLIES
3035524588,119064160,REPLIES
21271154,40068395,REPLIES
475407225,40872222,REPLIES
956926923216601090,17250722,REPLIES
22187462,772692799967723520,REPLIES
200786746,40068395,REPLIES
798626896070123525,16213404,REPLIES
1052117354434293760,52320140,REPLIES
292236129,124473350,REPLIES
180759995,17503820,REPLIES
2810753491,211371719,REPLIES
41259242,1240407498,REPLIES
1306123686,17250722,REPLIES
623478141,16734909,REPLIES
586390395,60779696,REPLIES
1388148914,55413868,REPLIES
28026149,52320140,REPLIES
1378469576,9609632,REPLIES
22757646,1113341312,REPLIES
19098053,198296897,REPLIES
28026149,28026149,REPLIES
43056399,16834659,REPLIES
32340937,19161682,REPLIES
1198649053,2768501,REPLIES
4554797846,16213404,REPLIES
343191217,66917778,REPLIES
19161682,32340937,REPLIES
749899620889665536,34116377,REPLIES
4856510102,4856510102,REPLIES
32340937,19161682,REPLIES
516124492,539833719,REPLIES
343191217,66917778,REPLIES
733543639335325697,350659811,REPLIES
586390395,237612784,REPLIES
1035375139645313024,137198586,REPLIES
624417170,16213404,REPLIES
277974831,1612349160,REPLIES
384826066,94374893,REPLIES
3622601179,782806500,REPLIES
329817652,816120087891492866,REPLIES
347818487,237213129,REPLIES
704926033439539200,16675569,REPLIES
28026149,52320140,REPLIES
497629268,16675569,REPLIES
40068395,246058485,REPLIES
224160730,2511543733,REPLIES
35900933,32339623,REPLIES
711822399038066689,16834659,REPLIES
458328611,623732328,REPLIES
363822984,190638538,REPLIES
130668639,4588114813,REPLIES
2938848428,2904009019,REPLIES
37605840,11781162,REPLIES
3163038860,40068395,REPLIES
761445010306764800,1113341312,REPLIES
40628944,68543992,REPLIES
557514342,1388148914,REPLIES
890869154311323648,104758530,REPLIES
146734114,1113341312,REPLIES
916502976,18371863,REPLIES
37107805,16213404,REPLIES
351995102,22993014,REPLIES
1306123686,95091601,REPLIES
3163038860,996392646,REPLIES
984372566,17503820,REPLIES
359010473,16213404,REPLIES
2810441094,160856325,REPLIES
537858765,1038887673316794368,REPLIES
965900225515700225,16213404,REPLIES
745491884773040128,1113341312,REPLIES
314537848,183036128,REPLIES
871590486867271680,972084323749736448,REPLIES
35900933,923120359808704512,REPLIES
2429615682,40628944,REPLIES
962257221135380480,25475956,REPLIES
3225076710,52320140,REPLIES
19174820,18371863,REPLIES
50853728,16834659,REPLIES
40628944,2429615682,REPLIES
1418223734,1418223734,REPLIES
34204774,31690313,REPLIES
885658005114503168,175243720,REPLIES
1355592691,16834659,REPLIES
993199311037988864,40868631,REPLIES
2908683410,2768501,REPLIES
1011026495500738561,16834659,REPLIES
797346072,17503820,REPLIES
