usr_id,mentions
924745282310434816,741693001
373149557,63025854
359490059,None
49579094,22573600
32201814,None
943735510505201664,2904009019
924745282310434816,269815420
625172280,2916395070
373149557,66917778
373149557,63025854
373334462,1181966660
87888260,11781162
87888260,16734909
66385183,None
270874057,3012189590
270874057,31585344
270874057,16734909
967642944621592577,16627712
2569854282,3555381912
48276110,95091601
1057988593975619584,492753749
2361655646,53303554
2361655646,17682476
2361655646,None
983508625,16627712
315120842,465936656
2450621492,2837256067
2171719285,21075591
2171719285,16734909
218041492,None
166328555,779594659295207424
625172280,393762976
232710107,None
303714609,465936656
751327970787110913,3555381912
35192397,60779696
715626890,2374260762
386533198,None
232710107,None
625172280,22573600
2361655646,None
232710107,None
2450621492,724794703879643137
2450621492,129788371
485497413,None
35192397,43525891
346373863,171437375
346373863,16734909
725868534,117060803
725868534,48734176
725868534,256444687
625172280,741693001
1091054502,1060594310649995264
4904265235,783214
361128467,779594659295207424
485497413,232710107
2473282146,465936656
625172280,703308253
373216728,465936656
2361655646,None
232710107,None
49579094,49835260
1057988593975619584,39682124
232710107,None
373149557,779594659295207424
1549362066,485497413
75549943,2837256067
1549362066,232710107
715626890,16627712
73568299,17250722
73568299,16734909
2904009019,2524707338
232710107,None
855629652219408384,2904009019
1892572652,26189696
375602531,134646048
579761895,16734909
540620541,2768501
3583964352,60779696
3583964352,16734909
134545496,43525891
773368033,779594659295207424
243882040,21075591
2569854282,16213404
4856510102,4562829133
4856510102,171437375
4856510102,16734909
1336492724,17250722
224367809,14809892
1543675592,None
2655081289,16734909
14273485,5947972
373149557,63025854
166328555,11781162
166328555,2507342209
166328555,16734909
146723616,23700113
146723616,877415741124825088
256913239,None
57555878,37611292
57555878,2768501
629689228,160856325
1526946950,156464691
1526946950,16734909
1526946950,20559705
1526946950,43304756
1526946950,60483082
751327970787110913,None
4687097786,16627712
75549943,465936656
1695587371,3555381912
529694616,None
2569854282,2837256067
1654861243,465936656
633017836,None
205959901,21075591
781019903574806529,2916395070
2361655646,None
397811354,579761895
397811354,16734909
788532504626012160,541557586
205959901,588732151
540620541,None
4732952108,1333360170
4732952108,16734909
40411129,22573600
2456550114,95091601
270679223,60779696
1040358965383639040,762906414041837568
1040358965383639040,16213404
540494985,540620541
1888926295,None
83202301,16213404
255491897,21075591
232710107,2768501
205959901,16734909
969461856912814082,18564887
969461856912814082,16304884
792356257,156464691
792356257,16734909
792356257,20559705
792356257,43304756
792356257,60483082
792356257,1526946950
827351735370862593,16627712
827351735370862593,284102172
2361655646,1016604071795384320
2361655646,16734909
924745282310434816,485497413
48276110,862551721666465792
29714420,16213404
715626890,46074537
629252211,485497413
2450621492,133584406
195642455,134646048
2669626553,None
159761784,16627712
16094885,22573600
967224585438380033,43525891
863577524751618048,43525891
48276110,779594659295207424
2803016864,25062474
2803016864,214770574
852207218,16834659
852207218,34116377
852207218,1437332655213744130
851797184,160856325
1684100930,104758530
570408824,571488084
19949820,None
827351735370862593,284102172
114128072,814992349
114128072,16734909
75549943,1031436258436734976
75549943,137198586
75549943,64925824
75549943,34116377
75549943,16734909
932911346,866909897048207360
932911346,60779696
255807625,21075591
2154530264,None
738019522800537602,None
629252211,269815420
1030416162721431554,31585344
1030416162721431554,16734909
1108104595,2916395070
1033910706,64714144
1601937732,161072668
1601937732,384233102
570408824,2837256067
747989574928896000,160856325
15003172,11781162
15003172,16734909
4687097786,43525891
158123632,None
490097102,16734909
490097102,28739612
1328599758,2904009019
158899570,23879043
480785251,862551721666465792
109036793,453156459
827351735370862593,164178673
889165498860130304,None
53646377,None
853014655689609216,16834659
2669626553,None
1031838709652443136,1059636793715318784
715626890,16509444
812138855008583680,465936656
751327970787110913,1137661725040209921
2241205392,28026149
1108104595,49835260
383706973,22573600
3244869590,1568352805
726865516300750849,155551280
2241205392,26189696
371622996,465936656
2241205392,16627712
2241205392,2916395070
57299037,399265360
1386337062,1333360170
397811354,1017297717796597760
397811354,137198586
2215446619,399265360
252397158,21075591
280992690,92624890
570408824,16627712
42769304,None
795050637775937536,183770461
827826237322072064,17250722
827826237322072064,16734909
48276110,3555381912
862607948798873600,373334462
1669796893,16734909
1558129087,None
1016604071795384320,95766807
1016604071795384320,28739612
1016604071795384320,137198586
1016604071795384320,16734909
1016604071795384320,34116377
1016604071795384320,37611292
383706973,862551721666465792
48276110,399265360
237612784,1240407498
237612784,25036511
3709184953,66917778
473948808,134646048
862607948798873600,171437375
827351735370862593,164178673
48276110,399265360
971123263450632192,None
827826237322072064,17250722
827826237322072064,16734909
1644454058,732492601
1644454058,16734909
1644454058,2768501
210320351,25036511
860350797774700544,None
210320351,25036511
1328599758,1333360170
1328599758,28739612
1221027217,52320140
210320351,1240407498
210320351,25036511
781019903574806529,160856325
72547133,16627712
902728309,160856325
72547133,26189696
549451100,26333400
549451100,29384834
625172280,465936656
1060608521178353665,None
354744799,None
1055432127850967040,117060803
1055432127850967040,48734176
1055432127850967040,256444687
625172280,2827865725
1669796893,571488084
2479310834,16627712
2488778701,None
1558129087,16627712
2171719285,369349553
506281260,368672880
335195929,None
171047669,None
65607720,None
781019903574806529,16627712
18545003,224495471
2910955801,None
72547133,95091601
129154489,None
3358462323,117060803
3358462323,48734176
3358462323,256444687
2456550114,20138772
2456550114,16463397
159003619,161072668
159003619,384233102
16431681,25036511
922294461186453504,741693001
760683016494653440,421306284
760683016494653440,16213404
168847333,None
2171719285,269721794
2171719285,165660881
2171719285,16734909
2180795533,1333360170
2180795533,16734909
3004590187,17250722
3004590187,16734909
66385183,None
759528870294884352,16627712
66385183,None
740700363829841921,703308253
2479310834,571488084
72547133,1240407498
72547133,25036511
1669796893,None
1601937732,16509444
58749535,16627712
24336528,None
1601937732,80712889
14980152,None
1669796893,66917778
164622407,95091601
2456550114,540620541
175946965,2456550114
1601937732,741693001
971712014589440001,None
15276252,95091601
846708120508420098,None
175946965,95091601
2450621492,592987684
129154489,None
827351735370862593,66917778
308359254,28026149
2456550114,579761895
2456550114,16734909
208548142,160856325
31367001,741693001
546765821,None
129154489,2904009019
1662114757,399265360
270657829,None
308359254,16627712
2208900336,None
1963127311,10228272
397811354,2456550114
129154489,3555381912
2450621492,540620541
1050417011833036800,None
129154489,60779696
26333400,None
74382140,16734909
74382140,20559705
74382140,43304756
74382140,1526946950
269581619,16734909
269581619,20559705
269581619,43304756
269581619,60483082
269581619,1526946950
121639467,16734909
121639467,20559705
121639467,43304756
121639467,60483082
121639467,1526946950
57248499,16734909
57248499,20559705
57248499,43304756
57248499,1526946950
129154489,None
994594957,779594659295207424
920095676,None
994594957,541557586
994594957,43525891
2479310834,611598902
826273894889779200,121639467
826273894889779200,16734909
826273894889779200,20559705
826273894889779200,43304756
826273894889779200,60483082
826273894889779200,1526946950
971712014589440001,None
994594957,2152416404
994594957,43525891
308359254,2916395070
826273894889779200,None
753130769153822720,1344228505
1684100930,None
181388172,1333360170
181388172,16734909
17752091,24879305
17752091,480739373
1892572652,399265360
460721800,22573600
47834838,134646048
2581673383,310463188
2581673383,1052246398685442048
994594957,336828167
994594957,43525891
262040253,None
295590659,17250722
295590659,16734909
460721800,284102172
356685448,185614627
1514621460,66917778
308359254,741693001
2844821060,57555878
397811354,751327970787110913
397811354,1137661725040209921
920095676,1240407498
920095676,25036511
795050637775937536,25036511
795050637775937536,43304756
3038915466,16213404
1669796893,1591155984344485903
1669796893,294292505
460721800,546765821
460721800,34116377
308359254,None
265931291,16627712
384233102,373149557
384233102,228857007
384233102,384233102
384233102,549862530
384233102,55113432
384233102,983508625
2161450206,134646048
1625576251,None
101092370,1240407498
101092370,25036511
882819334988607491,16627712
18564887,66917778
92932393,723151752
352893059,617995354
19489002,171437375
19489002,28739612
329350786,171437375
195635551,None
2569854282,52320140
378278756,28026149
319477370,121639467
319477370,16734909
319477370,20559705
319477370,43304756
319477370,60483082
2456550114,592987684
343096504,16627712
192684681,43525891
1601937732,373149557
1601937732,228857007
1601937732,384233102
1601937732,549862530
1601937732,55113432
1601937732,983508625
710598253935329280,None
1355592691,None
37871411,262040253
535785392,60779696
1892572652,43792125
3309576164,16675569
529694616,None
971712014589440001,None
810358184309243909,57555878
842544334226386944,43525891
846935654583951364,None
1273711201,4562829133
1273711201,16734909
142534232,16627712
3698221,52320140
406906282,16213404
363822984,66917778
1637784889,1333360170
1637784889,28739612
166328555,546765821
166328555,34116377
35084039,310463188
35084039,1052246398685442048
535785392,160856325
1470599562,66917778
164622407,66917778
60448583,53303554
1669796893,26189696
35916534,43525891
20185281,25036511
311959236,91010189
842544334226386944,26189696
3309576164,32201814
2661182168,63028705
308359254,16627712
26464396,1240407498
26464396,25036511
460721800,741693001
164622407,26189696
26464396,26189696
716749184821399553,269815420
164622407,17250722
107521538,None
832094897205190657,134646048
586470982,17250722
1060484884458655744,134646048
984447324,66917778
832094897205190657,828136795116228608
2479310834,2396932903
1637784889,4856510102
26464396,1240407498
258901737,None
937311580286603266,453156459
308359254,None
18736590,16213404
18736590,1607383921267810305
18736590,16734909
18736590,22993014
1669796893,43525891
2818810598,None
460721800,160856325
1048700735242870785,2916395070
142957691,None
464458913,1240407498
464458913,25036511
2661182168,28026149
846935654583951364,None
631626050,779594659295207424
212163638,21075591
994594957,160856325
1048700735242870785,2542290469
2884776675,16213404
2884776675,11781162
747005330,95091601
300510416,None
968373628604575744,57555878
3583964352,None
2475027319,16627712
65633173,160856325
716749184821399553,703308253
1650174055,21075591
2213249280,17250722
2213249280,384233102
2213249280,16734909
818396629640232960,16213404
716749184821399553,741693001
338633208,171437375
308359254,None
2475027319,None
971712014589440001,None
2175547129,16734909
727695742769336320,1607383921267810305
727695742769336320,22993014
727695742769336320,16734909
716749184821399553,2456550114
897114507952005120,3555381912
716749184821399553,465936656
460721800,571488084
21075591,23700113
21075591,165660881
369158562,None
546765821,16627712
4562829133,1273711201
4562829133,16734909
818396629640232960,1327426225548054528
818396629640232960,16213404
751327970787110913,None
288194864,553259396
288194864,16734909
1514621460,None
918274536,224495471
14205646,None
4755321,23700113
4755321,165660881
2479310834,751327970787110913
147040968,None
43413743,3265755889
43413743,125486974
43413743,43413743
43413743,16734909
1041881043878281217,160856325
22993014,1607383921267810305
22993014,16734909
79062928,399265360
818396629640232960,18321490
818396629640232960,16213404
62273565,None
715626890,2916395070
2213249280,16834659
2213249280,1471232930
2213249280,16734909
480785251,1240407498
480785251,25036511
99367063,603951538
99367063,16734909
17668544,492753749
404508332,266236372
404508332,571488084
842544334226386944,95091601
20568173,492753749
480785251,16627712
1355592691,465936656
818396629640232960,1449332903717089285
818396629640232960,16213404
2203771945,1240407498
2203771945,25036511
1220125394,66917778
810432772238151680,11781162
810432772238151680,16734909
2816984354,160856325
4755321,22573600
3688042154,2904009019
404267586,None
2799319651,846935654583951364
2799319651,300510416
159743606,None
1058740290578718720,27831488
1058740290578718720,16734909
1058740290578718720,451586190
43413743,4899639072
43413743,775326860
43413743,43413743
818396629640232960,153773624
818396629640232960,16213404
295590659,160856325
1048700735242870785,16627712
720130266,121639467
720130266,16734909
720130266,20559705
720130266,43304756
720130266,60483082
720130266,1526946950
79062928,3555381912
51898019,None
85794999,None
3254580492,377288471
535785392,66917778
2855400744,25036511
2855400744,43304756
728510492273074176,21075591
728510492273074176,16734909
4687097786,73981267
2799319651,335195929
2479310834,16627712
2464727282,None
237168864,2904009019
636089903,269815420
2799319651,359490059
818396629640232960,255437360
818396629640232960,16213404
1355592691,571488084
899395604,60779696
37622069,11781162
37622069,16734909
60448583,762906414041837568
60448583,16213404
1004937097751375872,26189696
2411313362,80712889
2411313362,95766807
535785392,16627712
2199126007,80712889
937603103246893056,28026149
252420272,741693001
533022197,43525891
1007900407538962433,16734909
165655235,None
2199126007,579761895
2199126007,16734909
707099809,2235731509
707099809,16734909
788532504626012160,16094885
781019903574806529,359490059
2777532764,703308253
1078264621,27984406
1078264621,16213404
843396383247818752,None
818396629640232960,117663382
818396629640232960,16213404
3272897923,43525891
79062928,2916395070
2816984354,1240407498
2816984354,25036511
2816984354,25036511
1601937732,922294461186453504
1601937732,3004590187
1859495642,None
1336492724,43525891
3688042154,1333360170
3688042154,16734909
501208726,None
2569854282,16834659
554148367,17250722
554148367,16734909
70617159,None
66385183,None
1371167210,529885521
79062928,16627712
3004590187,1601937732
3004590187,922294461186453504
3004590187,3004590187
417047832,None
864576671021764609,None
4687097786,160856325
369158562,None
21530998,85794999
1355592691,3555381912
2569854282,160856325
2816984354,26189696
4687097786,16627712
2799319651,None
2816984354,465936656
2855400744,408200652
575295839,52320140
575295839,19050000
369158562,None
404508332,25809767
404508332,571488084
404508332,58974496
716749184821399553,16094885
16675569,None
252420272,465936656
54011034,134646048
3023101710,2827865725
762440263,465936656
846935654583951364,None
2569854282,23700113
2569854282,165660881
16463397,723151752
232859057,23616888
716749184821399553,29420301
716749184821399553,399265360
405997483,25036511
405997483,43304756
431102415,399265360
99367063,38392608
1041881043878281217,762906414041837568
1041881043878281217,16213404
232710107,None
1000476366045839361,None
2777532764,3555381912
557344637,None
22724690,34116377
22724690,16734909
405997483,2916395070
916119991,16834659
916119991,16832632
916119991,34116377
405997483,3555381912
2855400744,160856325
243882040,None
918274536,None
1092378031,None
4687097786,43525891
21072785,25036511
21072785,43304756
2199126007,49835260
707099809,336828167
707099809,43525891
404508332,26189696
2799319651,None
778896979,2916395070
404508332,2827865725
576825236,104758530
233343317,None
337351696,None
795050637775937536,66917778
60448583,160856325
2335161692,16213404
405997483,16675569
311975036,171437375
4875432925,16463397
4875432925,723151752
2441617381,3581271734
2441617381,802168670596186112
2441617381,16213404
487290513,22573600
970089708851159042,16213404
970089708851159042,16734909
2569854282,1859495642
103761767,1412036527
404508332,2916395070
26464396,1412036527
335105584,1137661725040209921
335105584,16796812
335105584,84750011
335105584,274249799
335105584,20559705
335105584,43304756
34616293,176372096
34616293,16834659
941931872,None
68640609,16734909
68640609,485139839
783585314652557312,465936656
404508332,1240407498
404508332,25036511
255753616,16675569
779814741736730624,3555381912
3194289097,16734909
3194289097,28739612
788532504626012160,2916395070
252420272,853725283
232710107,26189696
405997483,43525891
65109514,None
16094885,None
34616293,26189696
2816984354,28026149
2333162875,465936656
232710107,160856325
2855400744,1072300283139579904
2816984354,519388948
2816984354,16734909
1943578718,68640609
1943578718,16734909
1892979913,2354745823
