usr_id,hashtags,type
72547133,ulurustatement,HASHTAGS
72547133,qanda,HASHTAGS
129154489,auspol,HASHTAGS
129154489,qanda,HASHTAGS
2456550114,useless,HASHTAGS
2456550114,auspol,HASHTAGS
159003619,qanda,HASHTAGS
66385183,akinmeansbusiness,HASHTAGS
66385183,thursdaythoughts,HASHTAGS
66385183,mtnfusion,HASHTAGS
66385183,thursdaymotivation,HASHTAGS
66385183,africainvestmentforum,HASHTAGS
66385183,akinmeansbusiness,HASHTAGS
66385183,thursdaythoughts,HASHTAGS
66385183,mtnfusion,HASHTAGS
66385183,thursdaymotivation,HASHTAGS
66385183,africainvestmentforum,HASHTAGS
2479310834,qanda,HASHTAGS
24336528,qanda,HASHTAGS
1601937732,qanda,HASHTAGS
1601937732,liberalparty,HASHTAGS
14980152,qanda,HASHTAGS
164622407,ulurustatement,HASHTAGS
164622407,qanda,HASHTAGS
15276252,auspol,HASHTAGS
175946965,auspol,HASHTAGS
129154489,auspol,HASHTAGS
308359254,qanda,HASHTAGS
2456550114,marriageequality,HASHTAGS
2208900336,qanda,HASHTAGS
129154489,auspol,HASHTAGS
129154489,qanda,HASHTAGS
129154489,qanda,HASHTAGS
74382140,auspol,HASHTAGS
74382140,7news,HASHTAGS
269581619,auspol,HASHTAGS
269581619,7news,HASHTAGS
121639467,auspol,HASHTAGS
121639467,7news,HASHTAGS
57248499,auspol,HASHTAGS
57248499,7news,HASHTAGS
994594957,pmlive,HASHTAGS
994594957,qanda,HASHTAGS
920095676,qanda,HASHTAGS
994594957,turnbull,HASHTAGS
994594957,auspol,HASHTAGS
17752091,qanda,HASHTAGS
17752091,factcheck,HASHTAGS
2581673383,rowdyones,HASHTAGS
460721800,qanda,HASHTAGS
2844821060,apology,HASHTAGS
397811354,parisagreement,HASHTAGS
397811354,auspol,HASHTAGS
1669796893,trump,HASHTAGS
1669796893,qanda,HASHTAGS
1669796893,libspill,HASHTAGS
460721800,stuntmo,HASHTAGS
352893059,qanda,HASHTAGS
19489002,auspol,HASHTAGS
195635551,auspol,HASHTAGS
195635551,comedy,HASHTAGS
195635551,pwd,HASHTAGS
195635551,multiplesclerosis,HASHTAGS
195635551,media,HASHTAGS
195635551,qanda,HASHTAGS
195635551,writing,HASHTAGS
195635551,screenwriting,HASHTAGS
195635551,canberra,HASHTAGS
195635551,brisbane,HASHTAGS
195635551,sydney,HASHTAGS
378278756,qanda,HASHTAGS
710598253935329280,qanda,HASHTAGS
535785392,qanda,HASHTAGS
1892572652,climate,HASHTAGS
529694616,首都大qanda,HASHTAGS
810358184309243909,apology,HASHTAGS
166328555,stuntmo,HASHTAGS
35084039,rowdyones,HASHTAGS
164622407,catchturnbullatloose,HASHTAGS
164622407,qanda,HASHTAGS
586470982,qanda,HASHTAGS
832094897205190657,pmliveskynews,HASHTAGS
2479310834,qanda,HASHTAGS
142957691,shortblack,HASHTAGS
142957691,astarisborn,HASHTAGS
142957691,qanda,HASHTAGS
2661182168,qanda,HASHTAGS
631626050,pmlive,HASHTAGS
631626050,qanda,HASHTAGS
1048700735242870785,longman,HASHTAGS
2884776675,qanda,HASHTAGS
300510416,qanda,HASHTAGS
968373628604575744,apology,HASHTAGS
897114507952005120,auspol,HASHTAGS
897114507952005120,qanda,HASHTAGS
460721800,qanda,HASHTAGS
21075591,auspol,HASHTAGS
751327970787110913,scomo,HASHTAGS
751327970787110913,primemuppet,HASHTAGS
751327970787110913,coalition,HASHTAGS
751327970787110913,auspol,HASHTAGS
751327970787110913,skynews,HASHTAGS
288194864,marriageequality,HASHTAGS
14205646,qanda,HASHTAGS
4755321,auspol,HASHTAGS
2479310834,scomo,HASHTAGS
2479310834,primemuppet,HASHTAGS
2479310834,coalition,HASHTAGS
2479310834,auspol,HASHTAGS
2479310834,skynews,HASHTAGS
147040968,qanda,HASHTAGS
147040968,auspol,HASHTAGS
147040968,libspill,HASHTAGS
22993014,9news,HASHTAGS
22993014,auspol,HASHTAGS
715626890,qanda,HASHTAGS
715626890,auspol,HASHTAGS
99367063,qanda,HASHTAGS
842544334226386944,auspol,HASHTAGS
159743606,qanda,HASHTAGS
43413743,qanda,HASHTAGS
79062928,auspol,HASHTAGS
79062928,qanda,HASHTAGS
85794999,qanda,HASHTAGS
85794999,styx,HASHTAGS
85794999,luxprize,HASHTAGS
85794999,wolfgangfischer,HASHTAGS
4687097786,turnbull,HASHTAGS
4687097786,q,HASHTAGS
2464727282,auspol,HASHTAGS
2464727282,renewables,HASHTAGS
2464727282,renewableenergy,HASHTAGS
1355592691,qanda,HASHTAGS
60448583,ulurustatement,HASHTAGS
2411313362,qanda,HASHTAGS
