usr_id,hashtags
1903307984,qanda
1027382530884812800,None
19959615,qanda
3236203752,None
899493183071035392,qanda
63028705,qanda
1527339204,qanda
1527339204,auspol
2711602693,auspol
168841729,qanda
294292505,popcorn
294292505,qanda
472716690,None
578737470,None
2905105711,None
814568231495077892,qanda
255437360,qanda
567171596,qanda
131711235,qanda
716022162,qanda
716022162,auspol
106286424,qanda
260532533,qanda
899493183071035392,qanda
747219321198280704,qanda
21463094,qanda
21463094,4corners
1344228505,qanda
2584844574,qanda
2584844574,nojacket
3356383392,qanda
3356383392,auspol
704234715989954560,qanda
500246788,qanda
180569858,None
119358191,None
816615996,qanda
248611172,None
14949685,None
3313427894,None
2402502044,qanda
41921816,None
329539091,qanda
2750756900,qanda
611598902,None
435218222,qanda
17896551,qanda
843035790,qanda
1342976196,None
1514752100,qanda
16213404,qanda
22246016,qanda
138559532,qanda
373149557,libspill
373149557,auspol
373149557,qanda
823329,qanda
229823662,qanda
439249630,qanda
49579094,qanda
49579094,noleatherjacket
49579094,turnsoffindisgust
290914079,qanda
612440918,qanda
612440918,auspol
138559532,qanda
750520522811715584,qanda
599855572,None
618537899,qanda
1549362066,None
264175249,qanda
25793722,putoutyourjackets
25793722,qanda
29420301,qanda
224594647,qanda
159003619,turnbull
159003619,q
3022615789,qanda
3102908108,qanda
3102908108,auspol
38630406,qanda
1549362066,auspol
554060122,qanda
554060122,malcolmtalks
17896551,qanda
309621851,qanda
309621851,malcolmturnbull
309621851,goldmansachs
24864618,qanda
4365723252,qanda
49975241,qanda
2744450418,qanda
746593379597721600,qanda
746593379597721600,turningoff
23052065,qanda
145837395,qanda
290914079,lukefoley
290914079,qanda
93589195,qanda
93589195,auspol
247272100,qanda
286573848,qanda
17645144,qanda
15011950,qanda
526989784,qanda
878655300,None
2460748716,qanda
64133943,None
2877409296,auspol
36054675,qanda
3244096784,qanda
497784358,qanda
312991399,qanda
2160931,qanda
420135247,auspol
420135247,qanda
2855113556,qanda
139438186,None
700914356372910082,qanda
181143477,qanda
899493183071035392,qanda
30172561,qanda
25907015,qanda
170615562,qanda
229823662,qanda
1341381270,None
81717915,None
154419191,qanda
154419191,auspol
823329,qanda
593660787,None
15715727,qanda
114452953,None
55113432,None
373149557,libspill
373149557,turnbull
373149557,israel
373149557,cathywilcox1
373149557,auspol
373149557,qanda
14657993,qanda
2402502044,qanda
29359951,qanda
27842273,qanda
2653823557,qanda
309621851,qanda
309621851,malcolmturnbull
309621851,goldmansachs
16166464,None
15188886,qanda
280949386,None
2916395070,qanda
2916395070,auspol
625985237,qanda
9104362,qanda
131711235,qanda
747219321198280704,qanda
138559532,qanda
72226544,qanda
2653823557,qanda
485209055,qanda
212470506,qanda
1425076974,qanda
258726786,qanda
1039673719080333313,qanda
20909123,qanda
17918250,None
2573938082,None
153029181,qanda
1527339204,qanda
1527339204,auspol
64146945,qanda
138559532,None
417797707,qanda
258289977,None
160001397,qanda
101423708,qanda
94770065,qanda
315651768,qanda
373149557,libspill
373149557,scumo
373149557,turnbull
373149557,auspol
373149557,qanda
6190272,qanda
3356383392,qanda
3356383392,auspol
523107232,None
1033826336,qanda
181150381,qanda
797309440999309312,qanda
3301092947,None
31703492,qanda
519388948,qanda
310703618,None
197346015,qanda
25907015,None
775059266,qanda
619669306,None
2579979278,qanda
3236203752,None
1542376674,qanda
43413743,None
261300530,qanda
261300530,auspol
381446240,qanda
313187605,qanda
384233102,None
823329,qanda
373149557,libspill
373149557,turnbull
373149557,aec
373149557,auspol
373149557,qanda
1661565902,qanda
337382401,qanda
483608501,qanda
2402502044,qanda
899493183071035392,qanda
1644849428,yesprimeminister
1644849428,qanda
704234715989954560,qanda
214770574,auspol
214770574,qanda
18710072,None
260532533,qanda
136936807,qanda
243882040,None
1134217662,qanda
700914356372910082,qanda
2507337876,qanda
3055873556,qanda
3055873556,sheahanpereira
618537899,qanda
2995868749,qanda
839061818819620864,None
43413743,None
15715727,qanda
33139292,nameandshame
33139292,qanda
253410837,None
49975241,qanda
288708450,qanda
25664945,qanda
524166962,None
17896551,qanda
782959125076414464,knife
782959125076414464,qanda
60496760,None
520719713,None
1487213216,qanda
1487213216,climatechange
361514032,qanda
1354245038,qanda
373149557,libspill
373149557,auspol
373149557,qanda
37898439,factcheck
37898439,qanda
445880830,qanda
445880830,auspol
154059448,nbn
154059448,qanda
27189723,qanda
18710072,nbn
25978296,qanda
2724950748,qanda
3102908108,qanda
20559509,None
38392608,qanda
94185085,qanda
1738099368,qanda
2152416404,None
23052065,qanda
496762984,None
1039673719080333313,qanda
34775569,qanda
1677921235,qanda
4037978832,qanda
67005265,None
1006726188729917440,None
306616453,None
2460748716,auspol
2460748716,qanda
