usr_id,mentions,type
924745282310434816,741693001,MENTIONS
373149557,63025854,MENTIONS
49579094,22573600,MENTIONS
943735510505201664,2904009019,MENTIONS
924745282310434816,269815420,MENTIONS
625172280,2916395070,MENTIONS
373149557,66917778,MENTIONS
373149557,63025854,MENTIONS
373334462,1181966660,MENTIONS
87888260,11781162,MENTIONS
87888260,16734909,MENTIONS
270874057,3012189590,MENTIONS
270874057,31585344,MENTIONS
270874057,16734909,MENTIONS
967642944621592577,16627712,MENTIONS
2569854282,3555381912,MENTIONS
48276110,95091601,MENTIONS
1057988593975619584,492753749,MENTIONS
2361655646,53303554,MENTIONS
2361655646,17682476,MENTIONS
983508625,16627712,MENTIONS
315120842,465936656,MENTIONS
2450621492,2837256067,MENTIONS
2171719285,21075591,MENTIONS
2171719285,16734909,MENTIONS
166328555,779594659295207424,MENTIONS
625172280,393762976,MENTIONS
303714609,465936656,MENTIONS
751327970787110913,3555381912,MENTIONS
35192397,60779696,MENTIONS
715626890,2374260762,MENTIONS
625172280,22573600,MENTIONS
2450621492,724794703879643137,MENTIONS
2450621492,129788371,MENTIONS
35192397,43525891,MENTIONS
346373863,171437375,MENTIONS
346373863,16734909,MENTIONS
725868534,117060803,MENTIONS
725868534,48734176,MENTIONS
725868534,256444687,MENTIONS
625172280,741693001,MENTIONS
1091054502,1060594310649995264,MENTIONS
4904265235,783214,MENTIONS
361128467,779594659295207424,MENTIONS
485497413,232710107,MENTIONS
2473282146,465936656,MENTIONS
625172280,703308253,MENTIONS
373216728,465936656,MENTIONS
49579094,49835260,MENTIONS
1057988593975619584,39682124,MENTIONS
373149557,779594659295207424,MENTIONS
1549362066,485497413,MENTIONS
75549943,2837256067,MENTIONS
1549362066,232710107,MENTIONS
715626890,16627712,MENTIONS
73568299,17250722,MENTIONS
73568299,16734909,MENTIONS
2904009019,2524707338,MENTIONS
855629652219408384,2904009019,MENTIONS
1892572652,26189696,MENTIONS
375602531,134646048,MENTIONS
579761895,16734909,MENTIONS
540620541,2768501,MENTIONS
3583964352,60779696,MENTIONS
3583964352,16734909,MENTIONS
134545496,43525891,MENTIONS
773368033,779594659295207424,MENTIONS
243882040,21075591,MENTIONS
2569854282,16213404,MENTIONS
4856510102,4562829133,MENTIONS
4856510102,171437375,MENTIONS
4856510102,16734909,MENTIONS
1336492724,17250722,MENTIONS
224367809,14809892,MENTIONS
2655081289,16734909,MENTIONS
14273485,5947972,MENTIONS
373149557,63025854,MENTIONS
166328555,11781162,MENTIONS
166328555,2507342209,MENTIONS
166328555,16734909,MENTIONS
146723616,23700113,MENTIONS
146723616,877415741124825088,MENTIONS
57555878,37611292,MENTIONS
57555878,2768501,MENTIONS
629689228,160856325,MENTIONS
1526946950,156464691,MENTIONS
1526946950,16734909,MENTIONS
1526946950,20559705,MENTIONS
1526946950,43304756,MENTIONS
1526946950,60483082,MENTIONS
4687097786,16627712,MENTIONS
75549943,465936656,MENTIONS
1695587371,3555381912,MENTIONS
2569854282,2837256067,MENTIONS
1654861243,465936656,MENTIONS
205959901,21075591,MENTIONS
781019903574806529,2916395070,MENTIONS
397811354,579761895,MENTIONS
397811354,16734909,MENTIONS
788532504626012160,541557586,MENTIONS
205959901,588732151,MENTIONS
4732952108,1333360170,MENTIONS
4732952108,16734909,MENTIONS
40411129,22573600,MENTIONS
2456550114,95091601,MENTIONS
270679223,60779696,MENTIONS
1040358965383639040,762906414041837568,MENTIONS
1040358965383639040,16213404,MENTIONS
540494985,540620541,MENTIONS
83202301,16213404,MENTIONS
255491897,21075591,MENTIONS
232710107,2768501,MENTIONS
205959901,16734909,MENTIONS
969461856912814082,18564887,MENTIONS
969461856912814082,16304884,MENTIONS
792356257,156464691,MENTIONS
792356257,16734909,MENTIONS
792356257,20559705,MENTIONS
792356257,43304756,MENTIONS
792356257,60483082,MENTIONS
792356257,1526946950,MENTIONS
827351735370862593,16627712,MENTIONS
827351735370862593,284102172,MENTIONS
2361655646,1016604071795384320,MENTIONS
2361655646,16734909,MENTIONS
924745282310434816,485497413,MENTIONS
48276110,862551721666465792,MENTIONS
29714420,16213404,MENTIONS
715626890,46074537,MENTIONS
629252211,485497413,MENTIONS
2450621492,133584406,MENTIONS
195642455,134646048,MENTIONS
159761784,16627712,MENTIONS
16094885,22573600,MENTIONS
967224585438380033,43525891,MENTIONS
863577524751618048,43525891,MENTIONS
48276110,779594659295207424,MENTIONS
2803016864,25062474,MENTIONS
2803016864,214770574,MENTIONS
852207218,16834659,MENTIONS
852207218,34116377,MENTIONS
852207218,1437332655213744130,MENTIONS
851797184,160856325,MENTIONS
1684100930,104758530,MENTIONS
570408824,571488084,MENTIONS
827351735370862593,284102172,MENTIONS
114128072,814992349,MENTIONS
114128072,16734909,MENTIONS
75549943,1031436258436734976,MENTIONS
75549943,137198586,MENTIONS
75549943,64925824,MENTIONS
75549943,34116377,MENTIONS
75549943,16734909,MENTIONS
932911346,866909897048207360,MENTIONS
932911346,60779696,MENTIONS
255807625,21075591,MENTIONS
629252211,269815420,MENTIONS
1030416162721431554,31585344,MENTIONS
1030416162721431554,16734909,MENTIONS
1108104595,2916395070,MENTIONS
1033910706,64714144,MENTIONS
1601937732,161072668,MENTIONS
1601937732,384233102,MENTIONS
570408824,2837256067,MENTIONS
747989574928896000,160856325,MENTIONS
15003172,11781162,MENTIONS
15003172,16734909,MENTIONS
4687097786,43525891,MENTIONS
490097102,16734909,MENTIONS
490097102,28739612,MENTIONS
1328599758,2904009019,MENTIONS
158899570,23879043,MENTIONS
480785251,862551721666465792,MENTIONS
109036793,453156459,MENTIONS
827351735370862593,164178673,MENTIONS
853014655689609216,16834659,MENTIONS
1031838709652443136,1059636793715318784,MENTIONS
715626890,16509444,MENTIONS
812138855008583680,465936656,MENTIONS
751327970787110913,1137661725040209921,MENTIONS
2241205392,28026149,MENTIONS
1108104595,49835260,MENTIONS
383706973,22573600,MENTIONS
3244869590,1568352805,MENTIONS
726865516300750849,155551280,MENTIONS
2241205392,26189696,MENTIONS
371622996,465936656,MENTIONS
2241205392,16627712,MENTIONS
2241205392,2916395070,MENTIONS
57299037,399265360,MENTIONS
1386337062,1333360170,MENTIONS
397811354,1017297717796597760,MENTIONS
397811354,137198586,MENTIONS
2215446619,399265360,MENTIONS
252397158,21075591,MENTIONS
280992690,92624890,MENTIONS
570408824,16627712,MENTIONS
795050637775937536,183770461,MENTIONS
827826237322072064,17250722,MENTIONS
827826237322072064,16734909,MENTIONS
48276110,3555381912,MENTIONS
862607948798873600,373334462,MENTIONS
1669796893,16734909,MENTIONS
1016604071795384320,95766807,MENTIONS
1016604071795384320,28739612,MENTIONS
1016604071795384320,137198586,MENTIONS
1016604071795384320,16734909,MENTIONS
1016604071795384320,34116377,MENTIONS
1016604071795384320,37611292,MENTIONS
383706973,862551721666465792,MENTIONS
48276110,399265360,MENTIONS
237612784,1240407498,MENTIONS
237612784,25036511,MENTIONS
3709184953,66917778,MENTIONS
473948808,134646048,MENTIONS
862607948798873600,171437375,MENTIONS
827351735370862593,164178673,MENTIONS
48276110,399265360,MENTIONS
827826237322072064,17250722,MENTIONS
827826237322072064,16734909,MENTIONS
1644454058,732492601,MENTIONS
1644454058,16734909,MENTIONS
1644454058,2768501,MENTIONS
210320351,25036511,MENTIONS
210320351,25036511,MENTIONS
1328599758,1333360170,MENTIONS
1328599758,28739612,MENTIONS
1221027217,52320140,MENTIONS
210320351,1240407498,MENTIONS
210320351,25036511,MENTIONS
781019903574806529,160856325,MENTIONS
72547133,16627712,MENTIONS
902728309,160856325,MENTIONS
72547133,26189696,MENTIONS
549451100,26333400,MENTIONS
549451100,29384834,MENTIONS
625172280,465936656,MENTIONS
1055432127850967040,117060803,MENTIONS
1055432127850967040,48734176,MENTIONS
1055432127850967040,256444687,MENTIONS
625172280,2827865725,MENTIONS
1669796893,571488084,MENTIONS
2479310834,16627712,MENTIONS
1558129087,16627712,MENTIONS
2171719285,369349553,MENTIONS
506281260,368672880,MENTIONS
781019903574806529,16627712,MENTIONS
18545003,224495471,MENTIONS
72547133,95091601,MENTIONS
3358462323,117060803,MENTIONS
3358462323,48734176,MENTIONS
3358462323,256444687,MENTIONS
2456550114,20138772,MENTIONS
2456550114,16463397,MENTIONS
159003619,161072668,MENTIONS
159003619,384233102,MENTIONS
16431681,25036511,MENTIONS
922294461186453504,741693001,MENTIONS
760683016494653440,421306284,MENTIONS
760683016494653440,16213404,MENTIONS
2171719285,269721794,MENTIONS
2171719285,165660881,MENTIONS
2171719285,16734909,MENTIONS
2180795533,1333360170,MENTIONS
2180795533,16734909,MENTIONS
3004590187,17250722,MENTIONS
3004590187,16734909,MENTIONS
759528870294884352,16627712,MENTIONS
740700363829841921,703308253,MENTIONS
2479310834,571488084,MENTIONS
