usr_id,hashtags
2910955801,8kasımdünyadelilergünü
2910955801,جمعية_نساء_ضد_العنف
2910955801,womenava
2910955801,خلود_خريس
72547133,ulurustatement
72547133,qanda
129154489,auspol
129154489,qanda
3358462323,None
2456550114,useless
2456550114,auspol
159003619,qanda
16431681,None
922294461186453504,None
760683016494653440,None
168847333,None
2171719285,None
2180795533,None
3004590187,None
66385183,akinmeansbusiness
66385183,thursdaythoughts
66385183,mtnfusion
66385183,thursdaymotivation
66385183,africainvestmentforum
759528870294884352,None
66385183,akinmeansbusiness
66385183,thursdaythoughts
66385183,mtnfusion
66385183,thursdaymotivation
66385183,africainvestmentforum
740700363829841921,None
2479310834,qanda
72547133,None
1669796893,None
1601937732,None
58749535,None
24336528,qanda
1601937732,qanda
1601937732,liberalparty
14980152,qanda
1669796893,None
164622407,ulurustatement
164622407,qanda
2456550114,None
175946965,None
1601937732,None
971712014589440001,None
15276252,auspol
846708120508420098,None
175946965,auspol
2450621492,None
129154489,auspol
827351735370862593,None
308359254,qanda
2456550114,marriageequality
208548142,None
31367001,None
546765821,None
129154489,None
1662114757,None
270657829,None
308359254,None
2208900336,qanda
1963127311,None
397811354,None
129154489,auspol
129154489,qanda
2450621492,None
1050417011833036800,None
129154489,qanda
26333400,None
74382140,auspol
74382140,7news
269581619,auspol
269581619,7news
121639467,auspol
121639467,7news
57248499,auspol
57248499,7news
129154489,None
994594957,pmlive
994594957,qanda
920095676,qanda
994594957,None
994594957,None
2479310834,None
826273894889779200,None
971712014589440001,None
994594957,turnbull
994594957,auspol
308359254,None
826273894889779200,None
753130769153822720,None
1684100930,None
181388172,None
17752091,qanda
17752091,factcheck
1892572652,None
460721800,None
47834838,None
2581673383,rowdyones
994594957,None
262040253,None
295590659,None
460721800,qanda
356685448,None
1514621460,None
308359254,None
2844821060,apology
397811354,parisagreement
397811354,auspol
920095676,None
795050637775937536,None
3038915466,None
1669796893,trump
1669796893,qanda
1669796893,libspill
460721800,stuntmo
308359254,None
265931291,None
384233102,None
2161450206,None
1625576251,None
101092370,None
882819334988607491,None
18564887,None
92932393,None
352893059,qanda
19489002,auspol
329350786,None
195635551,auspol
195635551,comedy
195635551,pwd
195635551,multiplesclerosis
195635551,media
195635551,qanda
195635551,writing
195635551,screenwriting
195635551,canberra
195635551,brisbane
195635551,sydney
2569854282,None
378278756,qanda
319477370,None
2456550114,None
343096504,None
192684681,None
1601937732,None
710598253935329280,qanda
1355592691,None
37871411,None
535785392,qanda
1892572652,climate
3309576164,None
529694616,首都大qanda
971712014589440001,None
810358184309243909,apology
842544334226386944,None
846935654583951364,None
1273711201,None
142534232,None
3698221,None
406906282,None
363822984,None
1637784889,None
166328555,stuntmo
35084039,rowdyones
535785392,None
1470599562,None
164622407,catchturnbullatloose
60448583,None
1669796893,None
35916534,None
20185281,None
311959236,None
842544334226386944,None
3309576164,None
2661182168,None
308359254,None
26464396,None
460721800,None
164622407,None
26464396,None
716749184821399553,None
164622407,qanda
107521538,None
832094897205190657,None
586470982,qanda
1060484884458655744,None
984447324,None
832094897205190657,pmliveskynews
2479310834,qanda
1637784889,None
26464396,None
258901737,None
937311580286603266,None
308359254,None
18736590,None
1669796893,None
2818810598,None
460721800,None
1048700735242870785,None
142957691,shortblack
142957691,astarisborn
142957691,qanda
464458913,None
2661182168,qanda
846935654583951364,None
631626050,pmlive
631626050,qanda
212163638,None
994594957,None
